dhaaira_number,islands,dhaaira,name,party,facebook,twitter,website,education,talents,chairman_of_the_committee,introduction,past_accomplishments,promises,campaign_manager_number,campaign_manager,profile_manager,profile_manager_number
S05,ހިތަދޫ މެދު,ހިތަދޫ މެދު ދާއިރާ,އަޙްމަދު ރަޝީދު,ދަ ޑިމޮކްރެޓްސް,n/a,n/a,,,,,,,,,,,
S06,ހިތަދޫ ދެކުނު,ހިތަދޫ ދެކުނު ދާއިރާ,އިބްރާހީމް ނާޒިލް,އެމް.ޑީީ.ޕީ.,n/a,n/a,,,,,,,,,,,
S07,މީދޫ،މަރަދޫފޭދޫ,އައްޑޫމީދޫ ދާއިރާ,ރޮޒައިނާ އާދަމް,އެމް.ޑީީ.ޕީ.,facebook.com/rozeyna.adam,@Roxeyna,,,,,,,,,,,
T01,ހުޅުމަލެ،މާޅެ ދަފްތަރު,ހުޅުމާލެ ދާއިރާ,ޢަލީ ނިޔާޒް,އެމް.ޑީ.ޕީ.,n/a,@ali_niya,,,,ލާމަރުކަޒީ ކޮމިޓީ,ޢަލީ ނިޔާޒަކީ ވެރިކަން ކުރާ ކޯލިޝަންގެ މައި ޕާޓީ އެމްޑީޕީ އުފެއްދީއްސުރެ އެޕާޓީގައި ދެމިހުންނެވި ބޭފުޅެކެވެ. އެ ޕާޓީގެ ޗެއާޕާސަންގެ ނައިބު އިދާރީގެ މަގާމުގައި މިހާރުވެސް ހުންނެވި ނިޔާ ވަނީ އިސް ގިނަ މަގާމުތަކެއް އަދާކުރައްވައިފަ އެވެ.,,,,,,
T02,މެދުހެންވޭރު،މާޅެ ދަފްތަރު,މެދުހެންވޭރު ދާއިރާ,ޢަލީ ޢާޡިމް,ދަ ޑިމޮކްރެޓްސް,facebook.com/mpaliazim,@aliaazim,,,,,"ޢަލީ ޢާޡިމް އެންމެ ފުރަތަމަ ރައްޔިތުންގެ މަޖިލީހަށް އިންތިޚާބުވެވަޑައިގެންނެވީ 2009 ވަނަ އަހަރުގައެވެ. އެއަށްފަހު 2014 ވަނަ އަހަރު ދެ ވަނަ ދައުރަކަށް އިންތިޚާބުވެވަޑައިގަތެވެ. 2019 ވަނަ އަހަރު މެދު ހެންވޭރު ދާއިރާގެ ގޮނޑިކާމިޔާބު ކުރެއްވުމާއެކު ޢަލީ ޢާޡިމް ވެވަޑައިގެންފައިވަނީ ރައްޔިތުންގެ މަޖިލީހުގައި ޖެހިޖެހިގެން 3 ވަނަ ދައުރު ފުރިހަމަ ކުރައްވާ މަދު މެންބަރުންގެ ތެރޭގައެވެ.
",,,,,,
T03,ހެންވޭރު ދެކުނު,ހެންވޭރު ދެކުނު ދާއިރާ,ޙުސައިން ޝަހީމް,އެމް.ޑީ.ޕީ.,facebook.com/hussain.shaheem.14,@AndhunHussain,,,,,,,,,,,
T04,ހެންވޭރުއުތުރު،މާޅެ ދަފްތަރު,ހެންވޭރު އުތުރު ދާއިރާ,އިބްރާހިމް މުޢިއްޒު,އެމް.ޑީ.ޕީ.,facebook.com/Muixxu,@muixxu,,,,,,,,,,,
T05,ގަލޮޅު އުތުރު,ގަލޮޮޅު އުތުރު ދާއިރާ,އީވާ ޢަބްދުﷲ,ދަ ޑިމޮކްރެޓްސް,facebook.com/EvaAbdullaMP,@evattey,,,,,"އީވާ އަބްދުﷲ އަކީ 19 ވަނަ ރައްޔިތުންގެ މަޖިލީހުގެ ނައިބު ރައީސެވެ. އެކަމަނާ ރައްޔިތުންގެ މަޖިލީހުގެ ނައިބު ރައީސްގެ މަޤާމަށް އިންތިޚާބުކުރެވުނީ، 28 މޭ 2019 ގައި ބޭއްވުނު 19 ވަނަ ރައްޔިތުންގެ މަޖިލީހުގެ ފުރަތަމަ ޖަލްސާގައެވެ.
",,,,,,
T06,ގަލޮޅު ދެކުނު,ގަލޮޅު ދެކުނު ދާއިރާ,މީކާއީލު އަޙްމަދު ނަސީމް,އެމް.ޑީ.ޕީ.,facebook.com/Mickail2019,@MickailNaseem,,,,,,,,,,,
T07,މައްޗާންގޮޅި އުތުރު، މާޅެ ދަފްތަރު,މައްޗަންގޮޅި އުތުރު ދާއިރާ,"މުޙައްމަދު ރަޝީދު
",ދަ ޑިމޮކްރެޓްސް,facebook.com/mohamed.rasheed.50999,@boadhigu,,,,,,,,,,,
T08,މައްޗަންގޮޅި ދެކުނު،މާޅެ ދަފްތަރު,މައްޗަންގޮޅި ދެކުނު ދާއިރާ,"އަޙްމަދު ޚައިތަމް
",އެމް.ޑީ.ޕީ.,facebook.com/ahm.haitham,@ahmhaitham,,,,,,,,,,,
T09,މާފަންނު އުތުރު,މާފަންނު އުތުރު ދާއިރާ,އިމްތިޔާޒު ފަހުމީ,ދަ ޑިމޮކްރެޓްސް,facebook.com/inthi.mate,@Imthiyazfahmy,,,,,,,,,,,
T10,މާފަންނު ހުޅަނގު,މާފަންނު ހުނޅަގު ދާއިރާ,މުޙައްމަދު ފަލާޙް,އެމް.ޑީ.ޕީ.,facebook.com/MohamedFalaa,@m_falaah,,,,,,,,,,,
T11,މާފަންނު  މެދު,މާފަންނު މެދު ދާއިރާ,"އިބްރާހީމް ރަޝީދު
",ދަ ޑިމޮކްރެޓްސް,facebook.com/IbrahimRasheedBonde,@BondeM4,,,,,,,,,,,
T12,މާފަންނު،މާޅެދަފްތަރު,މާފަންނު ދެކުނު ދާއިރާ,އާދަމް ޢަލީ,އެމް.ޑީ.ޕީ.,n/a,n/a,,,,,,,,,,,
T13,ވިލިނގިިލި،މާޅެދަފްތަރު,ވިލިމާލެ ދާއިރާ,އަޙްމަދު އުޝާމް,އެމް.އެން.ޕީ,n/a,n/a,,,,,,,,,,,
T14,ހެންވޭރު ހުޅަގު،މާޅެދަފްތަރު,ހެންވޭރު ހުޅަނގު ދާއިރާ,ޙަސަން ލަޠީފް,ދަ ޑިމޮކްރެޓްސް,n/a,@HassanLatheef,,,,,,,,,,,
T15,މައްޗަންގޮޅި މެދު،މާޅެދަފްތަރު,މައްޗަންގޮޅި މެދު ދާއިރާ,ރައީސް މުޙައްމަދު ނަޝީދު,ދަ ޑިމޮކްރެޓްސް,facebook.com/PresidentNasheed/,@MohamedNasheed,,,,,"ރައީސް މުޙައްމަދު ނަޝީދަކީ 19 ވަނަ ރައްޔިތުންގެ މަޖިލީހުގެ ރައީސްއެވެ. އެމަނިކުފާނު ރައްޔިތުންގެ މަޖިލީހުގެ ރައީސްގެ މަޤާމަށް އިންތިޚާބުކުރެވުނީ، 28 މޭ 2019 ގައި ބޭއްވުނު 19 ވަނަ ރައްޔިތުންގެ މަޖިލީހުގެ ފުރަތަމަ ޖަލްސާގައެވެ.
ރާއްޖެއަށް ޕާޓީ ނިޒާމް އައިސް، ސިޔާސީ ގޮތުން މިނިވަން އަދި އަސާސީ ޙައްޤުތަކެއް ކަނޑައެޅި ޤާނޫނުއަސާސީއެއް ލިބުނީ ފަހަތުގައި ރައީސް މުޙައްމަދު ނަޝީދުގެ ވަރަށް ބޮޑު ހިތްވަރެއް އޮވެގެންނެވެ. އެ ޙަޤީޤަތާއެކު ރައްޔިތުންގެ ވަރަށް ގިނަ ބައެއްގެ ލޯބި އެމަނިކުފާނު ހޯއްދެވިއެވެ. އަދި 2005 ގައި އެމްޑީޕީ އުފެއްދީއްސުރެ މިހާތަނަށް އެ ޕާޓީގެ އެންމެ ނުފޫޒު ގަދަ ވެރިއެއްގެ ގޮތުގައި ހުންނެވީ އެމަނިކުފާނެވެ. ދިވެހިރާއްޖޭގެ ރައީސުލްޖުމްހޫރިއްޔާ ކަމުގެ މަޤާމަށް 2008 ގައި ހޮވިވަޑައިގަތުމަކީ ވެސް އޭގެ ހެއްކެކެވެ. އަދި މިހާރު ވެސް ސިޔާސީ ގޮތުން ރައީސް މުޙައްމަދު ނަޝީދަކީ ރާއްޖޭގެ އެންމެ ވަރުގަދަ އެއް ލީޑަރެވެ.",,,,,,
